team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
Los Angeles Clippers,Boston Celtics,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Philadelphia 76ers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,1
Philadelphia 76ers,Boston Celtics,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Phoenix Suns,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,1
Phoenix Suns,Boston Celtics,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Indiana Pacers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,1
Indiana Pacers,Boston Celtics,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Golden State Warriors,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,1
Golden State Warriors,Boston Celtics,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Milwaukee Bucks,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,1
Milwaukee Bucks,Boston Celtics,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Cleveland Cavaliers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,1
Cleveland Cavaliers,Boston Celtics,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Dallas Mavericks,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,1
Dallas Mavericks,Boston Celtics,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Orlando Magic,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,1
Orlando Magic,Boston Celtics,0.573170731707317,7.672222222222222,1.7444444444444445,0.08096757238366371,22.6,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Miami Heat,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,1
Miami Heat,Boston Celtics,0.5609756097560976,8.8,2.1952380952380954,0.08668991634570299,20.8,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Sacramento Kings,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5609756097560976,7.135,1.725,0.06206373307725378,26.6,1
Sacramento Kings,Boston Celtics,0.5609756097560976,7.135,1.725,0.06206373307725378,26.6,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Houston Rockets,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5,8.829411764705881,1.8352941176470587,0.08744396867439636,21.1,1
