id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
19,Anthony Davis,Los Angeles Lakers,C,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.15365853658536585,0.1862921060222429
20,Damian Lillard,Milwaukee Bucks,PG,73,35.3,7.4,17.5,0.424,3.0,8.5,0.354,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,1.8,24.3,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.05365853658536586,0.20519410037032307
21,DeMar DeRozan,Chicago Bulls,SF,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.0,24.0,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.0524390243902439,0.18197420349900956
22,Julius Randle,New York Knicks,PF,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.1121951219512195,0.15052841324690394
24,Desmond Bane,Memphis Grizzlies,SG,42,34.4,8.6,18.5,0.464,3.3,8.6,0.381,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.05365853658536586,0.10296958302212378
25,Kawhi Leonard,Los Angeles Clippers,SF,68,34.3,9.0,17.1,0.525,2.1,4.9,0.417,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.07439024390243902,0.17045074871670263
26,Lauri Markkanen,Utah Jazz,PF,55,33.1,7.8,16.2,0.48,3.2,8.0,0.399,4.5,5.0,0.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.09999999999999999,0.1301440329218107
27,Jaylen Brown,Boston Celtics,SF,70,33.5,9.0,17.9,0.499,2.1,5.9,0.354,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23.0,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.06707317073170732,0.1646115627822945
28,Zion Williamson,New Orleans Pelicans,PF,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,2.3,22.9,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.07073170731707316,0.18045633359559402
29,Cade Cunningham,Detroit Pistons,PG,62,33.5,8.5,18.8,0.449,1.9,5.4,0.355,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.0524390243902439,0.11716668870794052
30,Paolo Banchero,Orlando Magic,PF,80,35.0,8.0,17.6,0.455,1.5,4.4,0.339,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.08414634146341464,0.20336094381943098
31,Paul George,Los Angeles Clippers,PF,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.06341463414634146,0.1629104273608116
