id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
86,James Harden,Los Angeles Clippers,PG,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.062195121951219505,0.15667618382285942
87,Jarrett Allen,Cleveland Cavaliers,C,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.12804878048780488,0.12080030487804878
88,Chet Holmgren,Oklahoma City Thunder,C,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.09634146341463415,0.12538839249778636
89,Jonathan Kuminga,Golden State Warriors,PF,74,26.3,6.2,11.6,0.529,0.7,2.2,0.321,3.0,4.0,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.058536585365853655,0.12438032916914536
90,Jalen Johnson,Atlanta Hawks,SF,56,33.7,6.4,12.5,0.511,1.3,3.6,0.355,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,16.0,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.10609756097560975,0.11267065500843688
91,Austin Reaves,Los Angeles Lakers,SG,82,32.1,5.6,11.5,0.486,1.9,5.1,0.367,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.0524390243902439,0.14094900804461394
92,Shaedon Sharpe,Portland Trail Blazers,SG,32,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.1,3.7,0.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.06097560975609756,0.09588701377608592
93,Malcolm Brogdon,Portland Trail Blazers,PG,39,28.7,5.6,12.7,0.44,2.1,5.1,0.412,2.4,3.0,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.046341463414634146,0.10801393728222997
94,Keldon Johnson,San Antonio Spurs,SF,69,29.5,5.7,12.5,0.454,1.8,5.3,0.346,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.06707317073170732,0.11245955887784195
95,Evan Mobley,Cleveland Cavaliers,PF,50,30.6,6.4,11.0,0.58,0.4,1.2,0.373,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7,15.7,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.11463414634146342,0.11884146341463413
96,De'Andre Hunter,Atlanta Hawks,SF,57,29.5,5.3,11.6,0.459,2.1,5.3,0.385,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.0475609756097561,0.09804208676735138
97,Donte DiVincenzo,New York Knicks,SG,81,29.1,5.5,12.4,0.443,3.5,8.7,0.401,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2.0,15.5,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.0451219512195122,0.09433878982016294
98,Jaden Ivey,Detroit Pistons,SG,77,28.8,5.4,12.6,0.429,1.6,4.8,0.336,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.041463414634146344,0.07452154691957455
99,Malik Monk,Sacramento Kings,SG,72,26.0,5.5,12.4,0.443,2.1,5.9,0.35,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.03536585365853658,0.1439058574187704
100,Kelly Oubre Jr.,Philadelphia 76ers,SF,68,30.2,5.7,12.9,0.441,1.5,4.8,0.311,2.6,3.4,0.75,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.06097560975609756,0.08318281319154536
102,Bojan Bogdanovic,Detroit Pistons,PF,28,32.9,7.1,15.2,0.468,3.1,7.4,0.415,2.9,3.7,0.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.041463414634146344,0.0880769303432771
103,Bojan Bogdanovic,New York Knicks,SF,29,19.2,3.8,8.8,0.43,1.6,4.4,0.37,1.2,1.6,0.8,0.3,1.7,2.0,0.9,0.2,0.0,1.3,1.3,10.4,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.024390243902439025,0.05855424117839937
104,Keegan Murray,Sacramento Kings,SF,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1.0,0.8,0.8,2.7,15.2,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.06707317073170732,0.11890030252790264
105,Derrick White,Boston Celtics,SG,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1.0,1.2,1.5,2.1,15.2,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.051219512195121955,0.12624209575429088
106,John Collins,Utah Jazz,PF,68,28.0,5.8,11.0,0.532,1.3,3.4,0.371,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.10365853658536585,0.08386655625815517
107,Khris Middleton,Milwaukee Bucks,SF,55,27.0,5.8,11.7,0.493,1.7,4.5,0.381,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.05731707317073171,0.13388296513855188
108,Trey Murphy III,New Orleans Pelicans,SF,57,29.6,4.8,10.9,0.443,3.0,7.8,0.38,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.059756097560975614,0.11006294256490952
110,OG Anunoby,Toronto Raptors,SF,27,33.3,5.8,11.9,0.489,2.3,6.0,0.374,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.0475609756097561,0.07196597167584579
111,OG Anunoby,New York Knicks,SF,23,34.9,5.4,11.1,0.488,1.8,4.5,0.394,1.5,1.9,0.791,1.0,3.4,4.4,1.5,1.7,1.0,1.7,2.5,14.1,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.05365853658536586,0.08093928922743208
112,Deni Avdija,Washington Wizards,SF,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.0878048780487805,0.09924081622022839
113,GG Jackson II,Memphis Grizzlies,PF,48,25.7,5.0,11.7,0.428,2.1,6.0,0.357,2.4,3.2,0.752,1.1,3.0,4.1,1.2,0.6,0.5,1.4,1.3,14.6,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.049999999999999996,0.05579021471312917
114,Bennedict Mathurin,Indiana Pacers,SF,59,26.1,5.0,11.2,0.446,1.4,3.6,0.374,3.1,3.8,0.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.04878048780487805,0.0903811058864275
115,Marcus Smart,Memphis Grizzlies,PG,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.032926829268292684,0.06628978116602707
116,Tim Hardaway Jr.,Dallas Mavericks,SF,79,26.8,5.0,12.4,0.402,2.7,7.6,0.353,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.03902439024390244,0.08711922956139433
118,Dennis Schroder,Toronto Raptors,PG,51,30.6,4.8,11.0,0.442,1.5,4.3,0.35,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.032926829268292684,0.07997147915027536
119,Dennis Schroder,Brooklyn Nets,PG,29,32.0,5.4,12.7,0.424,2.1,5.1,0.412,1.8,2.2,0.797,0.6,2.9,3.5,6.0,0.6,0.3,2.4,2.0,14.6,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.042682926829268296,0.11849990199098319
120,Rudy Gobert,Minnesota Timberwolves,C,76,34.1,5.3,8.1,0.661,0.0,0.0,0.0,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14.0,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.1573170731707317,0.10847240051347883
121,Scoot Henderson,Portland Trail Blazers,PG,62,28.5,5.0,12.9,0.385,1.4,4.3,0.325,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14.0,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.03780487804878049,0.09881954691433036
122,Caris LeVert,Cleveland Cavaliers,SG,68,28.8,5.1,12.1,0.421,1.6,4.9,0.325,2.3,3.0,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14.0,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.049999999999999996,0.11968750000000002
123,Aaron Gordon,Denver Nuggets,PF,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,57,25,5.26,118.5,113.0,5.5,0.589,136.7,0.6951219512195121,1,0.07926829268292683,0.12786589826395703
124,Norman Powell,Los Angeles Clippers,SG,76,26.2,4.9,10.1,0.486,2.2,5.1,0.435,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.03170731707317073,0.09359718130182547
125,Jalen Duren,Detroit Pistons,C,61,29.1,5.7,9.2,0.619,0.0,0.1,0.0,2.3,3.0,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,13.8,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.14146341463414633,0.06328994351136384
126,Bobby Portis,Milwaukee Bucks,PF,82,24.5,5.7,11.2,0.508,1.2,3.0,0.407,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.0902439024390244,0.09941259098454859
127,Saddiq Bey,Atlanta Hawks,SF,63,32.7,4.6,11.1,0.416,1.8,5.7,0.316,2.7,3.2,0.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.07926829268292683,0.08736002454364165
128,Jabari Smith Jr.,Houston Rockets,PF,76,31.9,5.0,11.0,0.454,1.8,5.0,0.363,2.0,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.09878048780487804,0.10259014315659479
129,Gary Trent Jr.,Toronto Raptors,SG,71,28.1,5.1,11.9,0.426,2.5,6.4,0.393,1.0,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.03170731707317073,0.06222462627852084
130,Rui Hachimura,Los Angeles Lakers,PF,68,26.9,5.3,9.9,0.537,1.4,3.4,0.422,1.5,2.0,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.0524390243902439,0.09758501330085574
131,Grayson Allen,Phoenix Suns,SG,75,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.0475609756097561,0.10059307583957298
132,Naz Reid,Minnesota Timberwolves,C,81,24.2,5.0,10.5,0.477,2.1,5.0,0.414,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.06341463414634146,0.10430466409927257
133,Cameron Johnson,Brooklyn Nets,PF,58,27.6,4.8,10.7,0.446,2.4,6.1,0.391,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1.0,1.8,13.4,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.0524390243902439,0.09100137212623563
134,Corey Kispert,Washington Wizards,SF,80,25.8,4.8,9.9,0.486,2.3,6.0,0.383,1.4,2.0,0.726,0.4,2.4,2.8,2.0,0.5,0.2,1.2,1.8,13.4,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.03414634146341463,0.08240334405479666
135,Andrew Wiggins,Golden State Warriors,SF,71,27.0,5.0,11.0,0.453,1.3,3.6,0.358,2.0,2.7,0.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,13.2,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.054878048780487805,0.10132031198360764
136,Keyonte George,Utah Jazz,PG,75,27.0,4.3,10.9,0.391,2.0,5.9,0.334,2.5,3.0,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.03414634146341463,0.08968182274415336
139,P.J. Washington,Dallas Mavericks,PF,29,32.2,4.4,10.4,0.421,1.8,5.8,0.314,1.1,1.8,0.627,1.1,5.1,6.2,1.5,1.2,0.9,1.0,2.0,11.7,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.07560975609756097,0.07122108238249764
140,Scotty Pippen Jr.,Memphis Grizzlies,PG,21,25.1,4.8,9.7,0.493,1.4,3.4,0.417,2.0,2.6,0.745,1.0,2.1,3.2,4.7,1.7,0.5,2.7,2.9,12.9,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.03902439024390244,0.062087379057528695
141,Duncan Robinson,Miami Heat,SF,68,28.0,4.5,9.9,0.45,2.8,7.0,0.395,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.03048780487804878,0.08512168725583359
142,Dillon Brooks,Houston Rockets,SF,72,30.9,4.6,10.7,0.428,1.8,5.1,0.359,1.7,2.0,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.041463414634146344,0.0962122812433987
144,Jalen Suggs,Orlando Magic,SG,75,27.0,4.5,9.5,0.471,2.0,5.1,0.397,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.03780487804878049,0.11106303315024461
145,Jrue Holiday,Boston Celtics,PG,69,32.8,4.8,10.0,0.48,2.0,4.7,0.429,0.9,1.0,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.06585365853658537,0.10719662752183078
146,Brook Lopez,Milwaukee Bucks,C,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.06341463414634146,0.09269250415017238
147,Josh Giddey,Oklahoma City Thunder,SG,80,25.1,5.0,10.6,0.475,1.0,3.0,0.337,1.3,1.6,0.806,1.4,5.0,6.4,4.8,0.6,0.6,2.1,1.4,12.3,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.07804878048780488,0.11338646059727925
148,Cam Whitmore,Houston Rockets,SF,47,18.7,4.5,9.9,0.454,1.7,4.7,0.359,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1.0,1.4,12.3,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.046341463414634146,0.08691766464633334
149,Harrison Barnes,Sacramento Kings,PF,82,29.0,4.2,8.9,0.474,1.8,4.7,0.387,1.9,2.4,0.801,0.8,2.2,3.0,1.2,0.7,0.1,0.7,1.2,12.2,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.036585365853658534,0.09415967320149726
150,Ayo Dosunmu,Chicago Bulls,SG,76,29.1,4.7,9.5,0.501,1.6,3.9,0.403,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.03414634146341463,0.0956859661591036
151,Javonte Green,Chicago Bulls,SF,9,25.6,5.0,8.3,0.6,1.1,3.0,0.37,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1,12.2,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.0902439024390244,0.07991471731208322
152,Aaron Nesmith,Indiana Pacers,SF,72,27.7,4.4,8.8,0.496,1.9,4.6,0.419,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.046341463414634146,0.07507559510330221
153,Max Strus,Cleveland Cavaliers,SF,70,32.0,4.3,10.4,0.418,2.4,6.8,0.351,1.1,1.4,0.794,0.9,3.9,4.8,4.0,0.9,0.4,1.6,2.4,12.2,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.058536585365853655,0.10161585365853658
154,Jonas Valanciunas,New Orleans Pelicans,C,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,2.0,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.10731707317073172,0.09295043273013374
156,Buddy Hield,Indiana Pacers,SF,52,25.7,4.4,9.9,0.443,2.6,6.9,0.384,0.5,0.6,0.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2.0,12.0,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.03902439024390244,0.08049712938418298
157,Buddy Hield,Philadelphia 76ers,SG,32,25.8,4.4,10.4,0.426,2.6,6.6,0.389,0.8,0.8,0.923,0.8,2.3,3.2,3.0,0.8,0.3,1.3,2.1,12.2,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.03902439024390244,0.07473773609732173
158,Tyus Jones,Washington Wizards,PG,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1.0,0.7,12.0,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.032926829268292684,0.10321904340239343
159,Jaime Jaquez Jr.,Miami Heat,SF,75,28.2,4.5,9.3,0.489,0.9,2.7,0.322,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1.0,0.3,1.5,2.2,11.9,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.046341463414634146,0.07871396895787139
160,Nic Claxton,Brooklyn Nets,C,71,29.8,5.2,8.2,0.629,0.0,0.1,0.2,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.12073170731707318,0.08048640474923693
162,Marvin Bagley III,Detroit Pistons,C,26,18.4,4.1,7.0,0.591,0.0,0.2,0.167,1.9,2.3,0.82,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.054878048780487805,0.043589767810923656
163,Marvin Bagley III,Washington Wizards,C,24,24.0,5.5,9.5,0.581,0.3,0.7,0.471,1.9,2.7,0.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.09878048780487804,0.0779433021238915
164,Ivica Zubac,Los Angeles Clippers,C,68,26.4,5.0,7.6,0.649,0.0,0.0,0.0,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.1121951219512195,0.08226771557877471
165,Cole Anthony,Orlando Magic,PG,81,22.4,4.1,9.4,0.435,1.1,3.4,0.338,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.046341463414634146,0.10533194397838258
166,Jeremy Sochan,San Antonio Spurs,PF,74,29.6,4.6,10.5,0.438,0.9,3.1,0.308,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.07804878048780488,0.09132676426703698
167,Clint Capela,Atlanta Hawks,C,73,25.8,4.8,8.5,0.571,0.0,0.0,0.0,1.8,2.8,0.631,4.6,6.0,10.6,1.2,0.6,1.5,1.0,2.2,11.5,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.12926829268292683,0.07335201996959935
168,Mike Conley,Minnesota Timberwolves,PG,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.03536585365853658,0.12165169020111254
169,Malik Beasley,Milwaukee Bucks,SG,79,29.6,4.1,9.1,0.443,2.8,6.9,0.413,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2.0,11.3,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.0451219512195122,0.08341048397394969
170,Brandon Clarke,Memphis Grizzlies,PF,6,22.3,5.5,9.8,0.559,0.2,1.0,0.167,0.2,1.2,0.143,2.2,3.2,5.3,1.5,0.8,1.0,0.5,1.3,11.3,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.06463414634146342,0.045282063169100537
171,Zach Collins,San Antonio Spurs,C,69,22.1,4.3,8.9,0.484,0.8,2.6,0.32,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3.0,11.2,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.06585365853658537,0.08519596401294116
172,De'Anthony Melton,Philadelphia 76ers,SG,38,26.9,3.7,9.5,0.386,2.0,5.6,0.36,1.7,2.1,0.835,0.7,3.0,3.7,3.0,1.6,0.4,1.0,2.2,11.1,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.0451219512195122,0.06937283938803095
173,Jakob Poeltl,Toronto Raptors,C,50,26.4,5.0,7.6,0.656,0.0,0.0,0.0,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,11.1,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.1048780487804878,0.05526160503540519
174,Russell Westbrook,Los Angeles Clippers,PG,68,22.5,4.4,9.8,0.454,0.6,2.3,0.273,1.6,2.4,0.688,1.4,3.7,5.0,4.5,1.1,0.3,2.1,1.8,11.1,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.06097560975609756,0.09751541475564195
176,Daniel Gafford,Washington Wizards,C,45,26.5,4.5,6.5,0.69,0.0,0.0,0.0,1.9,2.6,0.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.0975609756097561,0.06672483169038844
177,Daniel Gafford,Dallas Mavericks,PF,29,21.5,5.0,6.4,0.78,0.0,0.0,0.0,1.2,1.9,0.607,2.2,4.7,6.9,1.6,0.7,1.9,1.0,2.8,11.2,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.08414634146341464,0.06912095676750758
178,Wendell Carter Jr.,Orlando Magic,C,55,25.6,4.1,7.7,0.525,1.2,3.1,0.374,1.7,2.4,0.694,2.0,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11.0,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.08414634146341464,0.09257166069126295
179,Eric Gordon,Phoenix Suns,SG,68,27.8,4.0,9.1,0.443,2.2,5.8,0.378,0.8,0.9,0.797,0.2,1.6,1.8,2.0,1.0,0.4,1.1,1.2,11.0,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.021951219512195124,0.07916079768700422
180,Herbert Jones,New Orleans Pelicans,SF,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,1.8,2.1,0.867,1.0,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11.0,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.04390243902439025,0.0880251770259638
