team_A_score,team_B_score,PTS_diff,AST_diff,TRB_diff,STL_diff,BLK_diff,match_outcome
219.71,149.18,35.7,1.7000000000000028,19.899999999999995,0.0,2.8000000000000007,1
168.45,177.14,-2.5999999999999943,-1.5,-5.700000000000003,-0.7999999999999998,1.8000000000000007,0
202.53000000000003,140.39000000000001,40.29999999999998,6.8000000000000025,12.200000000000003,-0.2999999999999998,-0.7000000000000002,1
130.57,209.86,-45.6,-4.099999999999998,-16.200000000000003,-0.29999999999999893,-2.4000000000000004,0
172.77,128.96,17.200000000000003,1.8999999999999986,10.299999999999997,2.0999999999999996,1.7000000000000002,1
157.72,166.75,-13.5,-0.899999999999995,3.0999999999999943,1.0,-0.2999999999999998,0
177.09,191.58,-13.199999999999989,-0.49999999999999645,-4.699999999999996,1.6000000000000005,0.09999999999999964,0
135.10999999999999,193.82999999999996,-27.400000000000006,0.19999999999999574,-13.600000000000005,-2.6999999999999993,-2.4000000000000004,0
210.23999999999998,185.03999999999996,16.200000000000003,-0.1999999999999993,6.500000000000007,-0.8999999999999995,1.4000000000000008,1
179.19000000000003,245.57,-45.49999999999997,-3.0000000000000036,-10.900000000000006,1.4999999999999991,-2.6000000000000005,0
231.74999999999997,161.94,37.8,9.899999999999999,7.799999999999997,1.9999999999999991,0.5999999999999996,1
152.68,199.25,-24.39999999999999,-5.6999999999999975,-3.1000000000000014,-1.6000000000000005,-1.6999999999999993,0
261.60999999999996,186.07000000000002,30.299999999999983,9.200000000000006,16.699999999999996,0.8999999999999986,2.9000000000000004,1
178.13,211.32,-25.0,8.5,-8.699999999999992,-2.0,-1.4999999999999996,0
197.83,131.55,17.799999999999997,10.200000000000003,15.399999999999999,3.799999999999999,1.1,1
202.42000000000002,243.98000000000002,-23.80000000000001,-2.799999999999997,0.20000000000000284,-2.4000000000000012,-2.2,0
122.28,180.49,-31.900000000000006,-9.500000000000002,-10.800000000000004,-0.9000000000000004,1.1999999999999997,0
187.63,169.45000000000002,7.200000000000003,4.400000000000006,-0.09999999999999787,0.5999999999999996,0.9000000000000004,1
102.47,217.1,-59.39999999999999,-15.499999999999998,-9.399999999999999,-4.800000000000001,-2.099999999999999,0
161.77999999999997,199.27,-24.200000000000003,-4.300000000000001,-7.700000000000003,-0.39999999999999947,1.1999999999999997,0
262.21000000000004,195.19,28.200000000000017,6.200000000000003,21.09999999999999,-0.40000000000000036,1.8000000000000003,1
162.60000000000002,161.03000000000003,8.800000000000004,-7.100000000000001,6.600000000000001,-0.40000000000000036,-1.1000000000000003,1
133.24999999999997,127.78,13.29999999999999,2.900000000000002,-9.399999999999999,1.2999999999999998,-1.6,1
177.87,177.28,16.69999999999999,3.5000000000000036,-11.800000000000008,1.0999999999999996,-3.5000000000000004,1
185.32000000000002,115.79,34.39999999999999,10.700000000000001,6.900000000000002,1.9000000000000004,1.6999999999999997,1
165.48000000000002,178.73000000000002,-10.099999999999994,-4.100000000000001,2.0,0.40000000000000124,-0.20000000000000018,0
171.94,170.56,-6.0,1.9999999999999982,1.8999999999999986,0.2999999999999998,0.39999999999999947,1
108.29,137.63000000000002,-21.89999999999999,-2.1999999999999975,-2.200000000000003,-1.4999999999999996,1.0,0
186.71,121.16,41.39999999999999,13.7,3.4999999999999964,-0.40000000000000036,0.20000000000000018,1
200.22000000000003,174.48,16.500000000000014,8.599999999999998,-0.30000000000000426,-1.1000000000000005,0.0,1
194.54000000000002,229.97999999999996,-19.60000000000001,4.400000000000002,-10.199999999999996,-2.3000000000000007,-1.0999999999999988,0
165.17000000000002,157.07000000000002,0.30000000000001137,-1.399999999999995,6.999999999999993,-1.0999999999999988,1.5999999999999992,1
192.47,157.42,20.200000000000003,9.699999999999998,2.5,0.39999999999999947,-1.3000000000000007,1
240.48,213.79999999999998,19.000000000000014,-4.199999999999992,9.400000000000006,0.2999999999999998,0.5999999999999996,1
152.74,248.76999999999998,-34.80000000000001,-12.099999999999998,-15.400000000000002,-3.5,-4.7,0
173.67,186.54999999999998,-0.3999999999999915,1.1999999999999993,-9.399999999999999,0.5,-1.5,0
150.16,125.74,14.999999999999993,4.199999999999999,3.600000000000005,0.5999999999999996,-1.0,1
198.83,150.57,27.200000000000017,3.799999999999997,9.299999999999997,1.5999999999999988,-0.20000000000000107,1
203.51,178.25,21.89999999999999,10.600000000000001,-12.2,3.5999999999999996,-2.8999999999999995,1
203.47999999999996,222.92,-15.59999999999998,0.9999999999999929,-7.700000000000003,1.9000000000000004,-0.5999999999999996,0
160.93999999999997,247.40000000000003,-58.19999999999999,-2.599999999999998,-13.799999999999994,-0.7999999999999998,-1.7999999999999998,0
173.1,181.11,5.400000000000006,-2.299999999999997,-0.3000000000000078,-1.5,-1.7000000000000002,0
162.20000000000002,178.17000000000002,-6.1000000000000085,-1.7000000000000028,-6.100000000000001,-1.6000000000000005,1.5999999999999996,0
136.78,177.98000000000002,-10.900000000000006,4.000000000000002,-16.5,-0.1999999999999993,-5.3,0
179.85,175.97,-15.5,0.9999999999999964,10.899999999999999,-0.6999999999999984,2.299999999999999,1
136.8,299.83,-94.3,-22.299999999999994,-17.900000000000006,-3.200000000000001,-1.3999999999999995,0
176.24000000000004,229.19,-35.099999999999994,-8.100000000000001,-3.0,-1.0,0.2999999999999998,0
214.43,255.73999999999998,-10.800000000000011,-3.5000000000000036,-15.300000000000004,0.39999999999999947,-2.6999999999999993,0
161.85000000000002,121.66,14.300000000000018,4.5,10.200000000000003,0.9000000000000004,1.4,1
